name;commune;coordinates
Kristiansand        ;Kristiansand        ;POINT(7.999510008630899 58.135375961724485)
Ålesund             ;Ålesund             ;POINT(6.213703450291851 62.4698304464018)
Sandnessjøen        ;Alstahaug;POINT(12.639499999996092 66.02416700003947)
Hammerfest          ;Hammerfest          ;POINT(23.65966699818068 70.66900000008779)
Ørland              ;Ørland              ;POINT(9.663318059378135 63.694444482698444)
Horten              ;Ørland              ;POINT(10.49667660654575 59.41529161090346)
Stavanger           ;Stavanger           ;POINT(5.638500369796569 59.014166951081705)
Tromsø              ;Tromsø              ;POINT(18.997500000002105 69.68133300004321)
Lødingen            ;Lødingen            ;POINT(15.993167000001852 68.4188330000422)
Bodø                ;Bodø                ;POINT(14.393332999998963 67.28816700004103)
Vadsø               ;Vadsø               ;POINT(29.734080952316145 70.06995593435002)
Longyearbyen        ;Longyearbyen        ;POINT(15.650221111310437 78.22272230701881)
Florø               ;Florø               ;POINT(5.073793324001859 61.61248764136582)
Fedje               ;Fedje               ;POINT(4.722778223166847 60.78069131215587)
Utstyr i aksjon     ;Brannøya;POINT(10.26361311287994 58.900209981216435)
Mongstad            ;Alver;POINT(5.068500000000005 60.79117000000001)
