navn	nodhavnnummer	kategori	lenke_faktaark	forvaltningsstatus	iua	fylke	kommune	informasjon	geom_wkt
Bjerkvik                                                                                            	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Bjerkvik.pdf' target='_blank' >FAKTAARK HER<a>                                                                                            	Vedtatt                                                                                             	Ofoten                                            	Nordland                                          	Narvik                                            		POINT(17.53566728024114 68.53741157528646)
Bogen                                                                                               	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Bogen i Evenes.pdf' target='_blank' >FAKTAARK HER<a>                                                                                      	Vedtatt                                                                                             	Ofoten                                            	Nordland                                          	Evenes                                            		POINT(17.0314659663247 68.48950775864907)
Vikholmen                                                                                           	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Vikholmen.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Helgeland                                         	Nordland                                          	Alstahaug                                         		POINT(12.434751712702644 65.93352863289223)
Gleinskallen                                                                                        	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Gleinskallen.pdf' target='_blank' >FAKTAARK HER<a>                                                                                        	Vedtatt                                                                                             	Helgeland                                         	Nordland                                          	Dønna                                             		POINT(12.635113727626399 66.16694355050342)
Nerdal                                                                                              	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Nerdal.pdf' target='_blank' >FAKTAARK HER<a>                                                                                              	Vedtatt                                                                                             	Rana                                              	Nordland                                          	Rana                                              		POINT(13.962711298617277 66.27226262151574)
Utskarpen                                                                                           	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Utskarpen.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Rana                                              	Nordland                                          	Rana                                              		POINT(13.587388142961029 66.27991978416846)
Landegode NØ                                                                                        	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Landegode NO.pdf' target='_blank' >FAKTAARK HER<a>                                                                                        	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Bodø                                              		POINT(14.432471839788702 67.431213840226)
Breivika                                                                                            	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Breivika_Bodo.pdf' target='_blank' >FAKTAARK HER<a>                                                                                       	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Bodø                                              		POINT(15.140371793318566 67.21647583345155)
Skjoldehavn                                                                                         	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Skjoldehavn.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Andøy                                             		POINT(15.501790994792684 68.8653836579813)
Gisløy                                                                                              	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Gisloy.pdf' target='_blank' >FAKTAARK HER<a>                                                                                              	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Øksnes                                            		POINT(15.298576231189147 68.92959599379026)
Frengenbukta                                                                                        	3162402	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/MoreOgRomsdal/3162402_Frengenbukta.pdf' target='_blank' >FAKTAARK HER<a>                                                                           	Vedtatt                                                                                             	Sør-Trøndelag                                     	Trøndelag                                         	Ørland                                            		POINT(9.923333333412168 63.72999999996642)
Høydalsvika                                                                                         	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Hoydalsvika.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Øksnes                                            		POINT(15.024994816537985 68.93115095445043)
Lekang                                                                                              	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Lekang.pdf' target='_blank' >FAKTAARK HER<a>                                                                                              	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Hadsel                                            		POINT(14.966406609388171 68.5152952637992)
Haugbukta                                                                                           	-99	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Haugbukta.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Vestvågøy                                         		POINT(13.499479068344758 68.14334494235831)
Nappstraumen                                                                                        	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Nappstraumen.pdf' target='_blank' >FAKTAARK HER<a>                                                                                        	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Flakstad                                          		POINT(13.438941608794998 68.10969183661933)
Skjelfjorden                                                                                        	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Skjelfjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                                        	Vedtatt                                                                                             	Lofoten og Vesterålen                             	Nordland                                          	Flakstad                                          		POINT(13.244513848072778 68.0201542356871)
Kandstadfjorden                                                                                     	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Kandstadfjorden.pdf' target='_blank' >FAKTAARK HER<a>                                                                                     	Vedtatt                                                                                             	Ofoten                                            	Nordland                                          	Lødingen                                          		POINT(15.803172443099479 68.39243859136462)
Sjomen                                                                                              	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Sjomen N.pdf' target='_blank' >FAKTAARK HER<a>                                                                                            	Vedtatt                                                                                             	Ofoten                                            	Nordland                                          	Narvik                                            		POINT(17.16445342192227 68.40512992562957)
Skutvik                                                                                             	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Skutvik.pdf' target='_blank' >FAKTAARK HER<a>                                                                                             	Vedtatt                                                                                             	Ofoten                                            	Nordland                                          	Hamarøy                                           		POINT(15.34628982527501 67.99798255990336)
Grøtøyleia                                                                                          	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Grotoyleia.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Steigen                                           		POINT(14.758344580831908 67.87508107110423)
Bårdsteinvika                                                                                       	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Bardsteinvika.pdf' target='_blank' >FAKTAARK HER<a>                                                                                       	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Bodø                                              		POINT(15.054949157418136 67.51645685778401)
Hammerfall                                                                                          	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Hammerfall.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Sørfold                                           		POINT(15.559271514116457 67.38588016520345)
Grønnholmen                                                                                         	0	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Gronnholmen.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Ofoten                                            	Nordland                                          	Narvik                                            		POINT(16.99581382528108 68.37368070883427)
Landegode S                                                                                         	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Landegode S.pdf' target='_blank' >FAKTAARK HER<a>                                                                                         	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Bodø                                              		POINT(14.278851651044386 67.34847189593941)
Hjartøysundet                                                                                       	-99	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Hjartoysundet.pdf' target='_blank' >FAKTAARK HER<a>                                                                                       	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Bodø                                              		POINT(14.333961758598907 67.28997437115963)
Fleina                                                                                              	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Fleina S.pdf' target='_blank' >FAKTAARK HER<a>                                                                                            	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Gildeskål                                         		POINT(13.887631414538879 67.09393004829384)
Fugløya V                                                                                           	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Fugloya V.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Gildeskål                                         		POINT(13.724171298232566 67.06561423395122)
Teksmona                                                                                            	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Teksmona N.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Meløy                                             		POINT(13.58669564657949 66.8977207169701)
Renga                                                                                               	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Renga O.pdf' target='_blank' >FAKTAARK HER<a>                                                                                             	Vedtatt                                                                                             	Salten                                            	Nordland                                          	Rødøy                                             		POINT(13.160912627925706 66.61078438728728)
Hellesvika                                                                                          	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Hellesvika.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Helgeland                                         	Nordland                                          	Leirfjord                                         		POINT(12.914673382869726 66.02745646724719)
Ylvingen V                                                                                          	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Ylvingen V.pdf' target='_blank' >FAKTAARK HER<a>                                                                                          	Vedtatt                                                                                             	Helgeland                                         	Nordland                                          	Vega                                              		POINT(12.065168205486469 65.62560739913866)
Ormøya                                                                                              	-99	3	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Ormoya NV.pdf' target='_blank' >FAKTAARK HER<a>                                                                                           	Vedtatt                                                                                             	Helgeland                                         	Nordland                                          	Brønnøy                                           		POINT(12.136999497579819 65.43641828175063)
Bjørnstigodden                                                                                      	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Bjoernstigodden.pdf' target='_blank' >FAKTAARK HER<a>                                                                                     	Vedtatt                                                                                             	Helgeland                                         	Nordland                                          	Sømna                                             		POINT(12.25142856988317 65.3110349159462)
Lødingen                                                                                            	-99	2	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Lodingen.pdf' target='_blank' >FAKTAARK HER<a>                                                                                            	Vedtatt                                                                                             	Ofoten                                            	Nordland                                          	Lødingen                                          		POINT(16.012512839452437 68.42231005384163)
Framnesodden                                                                                        	-99	1	<a href='https://filer.kystinfo.no/beredskap/Nodhavn/Nordland/Framnesodden.pdf' target='_blank' >FAKTAARK HER<a>                                                                                        	Vedtatt                                                                                             	Ofoten                                            	Nordland                                          	Narvik                                            		POINT(17.360558634478277 68.44200493624173)
