Flyplass;By;Kommune;Coordinates
Ålesund Airport, Vigra;Ålesund;Møre og Romsdal;62.55891809009097, 6.115258636719895
Alta Airport;Alta;Finnmark;69.97794703384984, 23.346686575802135
Andøya Airport;Andenes;Nordland;69.31067039966989, 16.123914955037733
Arendal Airport, Gullknapp;Arendal;Aust-Agder;58.51610101436639, 8.702676820457183
Bardufoss Airport;Bardufoss;Troms;69.05966325776167, 18.537804095600215
Båtsfjord Airport;Båtsfjord;Finnmark;70.6029478879251, 29.692307070493605
Bergen Airport, Flesland;Bergen;Hordaland;60.28794595327303, 5.231968228861629
Berlevåg Airport;Berlevåg;Finnmark;70.87003960763325, 29.030325801889614
Bjorli Airport;Bjorli;Oppland;62.23528523776746, 8.244676790892528
Bodø Airport;Bodø;Nordland;67.27228362185247, 14.367562957690359
Brønnøysund Airport;Brønnøysund;Nordland;65.45993553098553, 12.20913595238534
Dokka Airport, Tumlevold;Dokka;Oppland;60.97970980529125, 9.86224347818602
Elverum Airport, Starmoen;Elverum;Hedmark;60.87717048798809, 11.674893086525518
Engeløy Airport, Grådussan;Engeløya;Nordland;67.96707027221163, 14.99526425956352
Fagernes Airport, Leirin;Fagernes;Oppland;61.006768470521145, 9.29446493051999
Farsund Airport, Lista;Farsund;Vest-Agder;58.10340154893103, 6.632008600023426
Florø Airport;Florø;Sogn og Fjordane;61.58591979920073, 5.024220457701804
Frøya Airport, Flatval;Sistranda;Trøndelag;63.69899018395749, 8.756258984679903
Geilo Airport, Dagali;Geilo;Buskerud;60.41697352999239, 8.50185348282981
Gol Airport, Klanten;Gol;Buskerud;60.7906509211921, 9.051787057695723
Grimsmoen Airport, Folldal;Folldal;Hedmark;62.11700925598495, 10.10905721536105
Hamar Airport, Stafsberg;Hamar;Hedmark;60.81753116354322, 11.069680528866815
Hammerfest Airport;Hammerfest;Finnmark;70.68007583994385, 23.67550881351507
Harstad/Narvik Airport, Evenes;Harstad/Narvik;Nordland;68.49195887014889, 16.68413100003148
Hasvik Airport;Hasvik;Finnmark;70.48663297447968, 22.147036555862805
Hattfjelldal Airport;Hattfjelldal;Nordland;65.59496822689847, 13.98942398469439
Haugesund Airport;Haugesund;Rogaland;59.344711584287076, 5.2167526902317904
Hokksund Airport;Hokksund;Buskerud;59.75981834989297, 9.919885886533217
Hønefoss Airport, Eggemoen;Hønefoss;Buskerud;60.21058345600359, 10.316443771200591
Honningsvåg Airport;Honningsvåg;Finnmark;71.00874051422358, 25.97737839817548
Jan Mayensfield;Olonkinbyen;Jan Mayen;70.93939012465555, -8.666018483262123
Kautokeino Airport;Kautokeino;Finnmark;69.04018065704817, 23.03425310002718
Kirkenes Airport;Kirkenes;Finnmark;69.72146425366402, 29.883011542362404
Kjeller Airport;Lillestrøm;Akershus;59.96940514380572, 11.039504609053264
Kristiansand Airport;Kristiansand;Vest-Agder;58.20392640108377, 8.08371565583419
